hello
0	1	-1
1	62	131
1	63	0.01002725
2	82	0.0034
2	83	2.32
3	85	0.002
4	87	3.115
4	88	5.069147
5	90	0.2499
6	93	0.0992
6	94	0.03559542
7	96	0.0149
8	98	-1
8	97	0.01922494
9	100	-1
9	101	0.0103
10	103	0.2
10	102	0.2804
11	106	1
11	107	11.30960938
11	108	0.03379542
12	110	1
12	111	0.03559542
13	114	-1
13	115	0.02839543
14	118	0.001
14	119	1.551517
14	120	0.00127404
15	122	0.001
